ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,unit_id,func,network_direction,address,quantity,values,Time
1593264449.419685,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,0,1,F,1593264449.419685
1593264449.423417,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,0,1,F,1593264449.423417
1593264449.423476,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,1,1,F,1593264449.423476
1593264449.426671,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,1,1,F,1593264449.426671
1593264449.426739,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,2,1,F,1593264449.426739
1593264449.429992,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,2,1,F,1593264449.429992
1593264449.430091,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,3,1,F,1593264449.430091
1593264449.433371,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,3,1,F,1593264449.433371
1593264449.433465,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,4,1,F,1593264449.433465
1593264449.436683,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,4,1,F,1593264449.436683
1593264449.436684,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,5,1,F,1593264449.436684
1593264449.439916,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,5,1,F,1593264449.439916
1593264449.439975,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,6,1,F,1593264449.439975
1593264449.443282,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,6,1,F,1593264449.443282
1593264449.443338,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,7,1,F,1593264449.443338
1593264449.446591,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,7,1,F,1593264449.446591
