"No.","Time","Source","Destination","Protocol","Info"
"1238","1593264449.419685","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 10391; Unit:   1, Func:   5: Write Single Coil"
"1240","1593264449.423417","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 10391; Unit:   1, Func:   5: Write Single Coil"
"1241","1593264449.423476","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  6904; Unit:   1, Func:   5: Write Single Coil"
"1242","1593264449.426671","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  6904; Unit:   1, Func:   5: Write Single Coil"
"1243","1593264449.426739","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 20446; Unit:   1, Func:   5: Write Single Coil"
"1244","1593264449.429992","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 20446; Unit:   1, Func:   5: Write Single Coil"
"1245","1593264449.430091","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 53398; Unit:   1, Func:   5: Write Single Coil"
"1246","1593264449.433371","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 53398; Unit:   1, Func:   5: Write Single Coil"
"1247","1593264449.433465","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 38743; Unit:   1, Func:   5: Write Single Coil"
"1248","1593264449.436683","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 38743; Unit:   1, Func:   5: Write Single Coil"
"1249","1593264449.436684","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 41447; Unit:   1, Func:   5: Write Single Coil"
"1250","1593264449.439916","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 41447; Unit:   1, Func:   5: Write Single Coil"
"1251","1593264449.439975","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 62612; Unit:   1, Func:   5: Write Single Coil"
"1253","1593264449.443282","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 62612; Unit:   1, Func:   5: Write Single Coil"
"1254","1593264449.443338","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 17503; Unit:   1, Func:   5: Write Single Coil"
"1255","1593264449.446591","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 17503; Unit:   1, Func:   5: Write Single Coil"
"1256","1593264449.446636","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 51678; Unit:   1, Func:   5: Write Single Coil"
